model,task,condition,n_obs,n_excluded_orig_invalid,acr_pct,ci_low,ci_high,invalid_rate_pct,original_invalid_rate_pct,explanation_missing_rate_pct,acr_adjusted_pct,acr_adjusted_ci_low,acr_adjusted_ci_high,n_paired_for_adjustment
Gemma-7B-Base,gsm8k,perturb_step_reorder,1497,3,9.084836339345358,7.682030728122912,10.554442217768871,0.06680026720106881,0.2,0.0,3.006012024048096,1.002004008016032,5.01002004008016,499.0
Gemma-7B-Base,gsm8k,perturb_word_shuffle,1497,3,47.22778891115564,44.7561790247161,49.76619906479626,0.33400133600534404,0.2,0.0,40.28056112224449,35.67134268537074,44.68937875751503,499.0
Gemma-7B-Base,gsm8k,reinject_original,499,1,6.012024048096192,4.008016032064128,8.216432865731463,0.2004008016032064,0.2,0.0,,,,
Gemma-7B-Base,gsm8k,removal,499,1,89.97995991983969,87.17434869739479,92.58517034068136,0.2004008016032064,0.2,0.0,83.96793587174349,80.36072144288578,87.374749498998,499.0
Gemma-7B-Base,gsm8k,swap,1497,3,98.39679358717434,97.72879091516366,98.99799599198397,0.6012024048096193,0.2,0.0,93.58717434869739,91.38276553106212,95.59118236472946,499.0
Gemma-7B-Base,mmlu_stem,control_irrelevant,1482,18,47.97570850202429,45.47908232118758,50.53981106612686,3.2388663967611335,1.2,0.0,34.61538461538461,29.554655870445345,39.67611336032389,494.0
Gemma-7B-Base,mmlu_stem,perturb_step_reorder,1482,18,16.531713900134953,14.642375168690958,18.42105263157895,0.6072874493927125,1.2,0.0,2.834008097165992,0.4048582995951417,5.2631578947368425,494.0
Gemma-7B-Base,mmlu_stem,perturb_word_shuffle,1482,18,28.272604588394064,26.11336032388664,30.5668016194332,0.8771929824561403,1.2,0.0,14.17004048582996,10.323886639676113,18.016194331983804,494.0
Gemma-7B-Base,mmlu_stem,reinject_original,494,6,14.17004048582996,11.133603238866396,17.408906882591094,1.0121457489878543,1.2,0.0,,,,
Gemma-7B-Base,mmlu_stem,removal,494,6,39.27125506072875,35.020242914979754,43.7246963562753,0.20242914979757085,1.2,0.0,25.101214574898787,20.242914979757085,29.959514170040485,494.0
