right_to_wrong,wrong_to_right,wrong_to_wrong_diff,no_change_correct,no_change_incorrect,model,task,condition,n_valid
54.26829268292683,2.4390243902439024,22.865853658536587,18.36890243902439,2.057926829268293,Gemma-2-27B-Base,gsm8k,control_irrelevant,1312
0.8666666666666667,0.7333333333333333,1.5333333333333334,71.53333333333333,25.333333333333332,Gemma-2-27B-Base,gsm8k,perturb_step_reorder,1500
20.794078061911172,1.4804845222072678,10.565275908479139,51.95154777927322,15.208613728129206,Gemma-2-27B-Base,gsm8k,perturb_word_shuffle,1486
0.4,0.4,1.4,72.0,25.8,Gemma-2-27B-Base,gsm8k,reinject_original,500
49.6,4.2,21.0,22.8,2.4,Gemma-2-27B-Base,gsm8k,removal,500
65.54856743535989,0.8385744234800838,25.43675751222921,7.058001397624039,1.1180992313067786,Gemma-2-27B-Base,gsm8k,swap,1431
14.108740536820372,7.845836200963523,7.157604955264969,57.811424638678595,13.076393668272539,Gemma-2-27B-Base,mmlu_stem,control_irrelevant,1453
5.670446964643095,2.601734489659773,4.0693795863909275,65.7771847898599,21.881254169446297,Gemma-2-27B-Base,mmlu_stem,perturb_step_reorder,1499
8.048289738430583,4.560697518443997,4.82897384305835,63.44735077129443,19.114688128772634,Gemma-2-27B-Base,mmlu_stem,perturb_word_shuffle,1491
4.4,2.8,4.0,67.0,21.8,Gemma-2-27B-Base,mmlu_stem,reinject_original,500
12.424849699398798,7.014028056112225,7.014028056112225,59.11823647294589,14.428857715430862,Gemma-2-27B-Base,mmlu_stem,removal,499
18.490304709141274,7.686980609418282,8.933518005540167,53.393351800554015,11.495844875346261,Gemma-2-27B-Base,mmlu_stem,swap,1444
5.2243804420629605,1.607501674480911,3.348961821835231,85.80040187541861,4.018754186202277,Gemma-2-27B-Instruct,gsm8k,control_irrelevant,1493
7.34982332155477,0.2826855123674912,1.342756183745583,84.31095406360424,6.713780918727915,Gemma-2-27B-Instruct,gsm8k,perturb_step_reorder,1415
4.953145917001339,1.4725568942436413,2.5435073627844713,86.01070950468541,5.020080321285141,Gemma-2-27B-Instruct,gsm8k,perturb_word_shuffle,1494
3.3333333333333335,0.4166666666666667,0.4166666666666667,88.54166666666667,7.291666666666667,Gemma-2-27B-Instruct,gsm8k,reinject_original,480
3.6144578313253013,1.0040160642570282,3.8152610441767068,87.34939759036145,4.216867469879518,Gemma-2-27B-Instruct,gsm8k,removal,498
5.555555555555555,1.606425702811245,3.4805890227576977,85.40829986613119,3.9491298527443104,Gemma-2-27B-Instruct,gsm8k,swap,1494
11.962931760741364,3.7910699241786014,4.549283909014322,61.078348778433025,18.618365627632688,Gemma-2-27B-Instruct,mmlu_stem,control_irrelevant,1187
17.39864864864865,3.800675675675676,4.391891891891892,56.33445945945946,18.074324324324323,Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,1184
10.457516339869281,5.065359477124183,3.5130718954248366,62.5,18.464052287581698,Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,1224
13.881748071979434,3.5989717223650386,3.0848329048843186,60.66838046272493,18.76606683804627,Gemma-2-27B-Instruct,mmlu_stem,reinject_original,389
11.195928753180661,4.071246819338422,3.5623409669211195,62.086513994910945,19.083969465648856,Gemma-2-27B-Instruct,mmlu_stem,removal,393
14.017857142857142,3.0357142857142856,4.642857142857143,60.17857142857143,18.125,Gemma-2-27B-Instruct,mmlu_stem,swap,1120
40.88235294117647,2.6470588235294117,51.372549019607845,3.5294117647058822,1.5686274509803921,Gemma-7B-Base,gsm8k,control_irrelevant,1020
1.9385026737967914,0.4679144385026738,6.684491978609626,43.783422459893046,47.12566844919786,Gemma-7B-Base,gsm8k,perturb_step_reorder,1496
18.83378016085791,1.742627345844504,26.80965147453083,26.742627345844504,25.871313672922252,Gemma-7B-Base,gsm8k,perturb_word_shuffle,1492
