model,task,condition_a,condition_b,n_paired,statistic,p_value,b,c
Llama-3.1-8B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,19.34328358208955,1.0920266601102626e-05,52,15
Llama-3.1-8B-Instruct,mmlu_stem,swap,control_irrelevant,500,8.284090909090908,0.003999392249375005,58,30
Llama-3.1-8B-Instruct,mmlu_stem,swap,reinject_original,500,107.11557788944724,4.199500456851563e-25,173,26
Llama-3.1-8B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,86.48447204968944,1.4083881251158188e-20,140,21
Qwen2.5-32B-Base,gsm8k,removal,perturb_word_shuffle,500,2.25,0.13361440253771617,42,58
Qwen2.5-32B-Base,gsm8k,removal,perturb_step_reorder,500,50.160714285714285,1.4165556723752643e-12,55,1
Qwen2.5-32B-Base,gsm8k,removal,swap,500,312.5,6.231942781979911e-70,6,332
Qwen2.5-32B-Base,gsm8k,removal,control_irrelevant,500,221.32342007434943,4.652814868159345e-50,12,257
Qwen2.5-32B-Base,gsm8k,removal,reinject_original,500,53.018181818181816,3.304751303805306e-13,55,0
Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,66.125,4.2321366174257373e-16,71,1
Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,swap,500,298.378125,7.432355053125665e-67,5,315
Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,197.65779467680608,6.775919519236855e-45,17,246
Qwen2.5-32B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,69.01408450704226,9.776276453874793e-17,71,0
Qwen2.5-32B-Base,gsm8k,perturb_step_reorder,swap,500,378.0026315789474,3.3870586123219177e-84,0,380
Qwen2.5-32B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,291.16065573770493,2.7775484806625816e-65,3,302
Qwen2.5-32B-Base,gsm8k,perturb_step_reorder,reinject_original,500,0.0,1.0,2,1
Qwen2.5-32B-Base,gsm8k,swap,control_irrelevant,500,46.0431654676259,1.1567598599643075e-11,110,29
Qwen2.5-32B-Base,gsm8k,swap,reinject_original,500,379.002624671916,2.0516641318506054e-84,381,0
Qwen2.5-32B-Base,gsm8k,control_irrelevant,reinject_original,500,294.08223684210526,6.413496931461238e-66,302,2
Qwen2.5-32B-Base,mmlu_stem,removal,perturb_word_shuffle,500,37.3134328358209,1.0058936489518226e-09,59,8
Qwen2.5-32B-Base,mmlu_stem,removal,perturb_step_reorder,500,63.683673469387756,1.4609033263152267e-15,89,9
Qwen2.5-32B-Base,mmlu_stem,removal,swap,500,52.91129032258065,3.489579064913565e-13,21,103
Qwen2.5-32B-Base,mmlu_stem,removal,control_irrelevant,500,26.297619047619047,2.9264923687908557e-07,18,66
Qwen2.5-32B-Base,mmlu_stem,removal,reinject_original,500,70.77894736842106,3.995783256630011e-17,89,6
Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,19.121951219512194,1.2262637158328225e-05,35,6
Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,swap,500,116.93959731543625,2.959448253048317e-27,8,141
Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,82.08547008547009,1.3032718584945166e-19,9,108
Qwen2.5-32B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,22.88095238095238,1.7235135468062262e-06,37,5
Qwen2.5-32B-Base,mmlu_stem,perturb_step_reorder,swap,500,152.4764705882353,4.9852935018523e-35,4,166
Qwen2.5-32B-Base,mmlu_stem,perturb_step_reorder,control_irrelevant,500,116.8768115942029,3.054634139410815e-27,5,133
Qwen2.5-32B-Base,mmlu_stem,perturb_step_reorder,reinject_original,500,0.36363636363636365,0.546493595406582,7,4
Qwen2.5-32B-Base,mmlu_stem,swap,control_irrelevant,500,9.723214285714286,0.0018195501959980724,73,39
Qwen2.5-32B-Base,mmlu_stem,swap,reinject_original,500,159.14792899408283,1.7370751327822244e-36,167,2
Qwen2.5-32B-Base,mmlu_stem,control_irrelevant,reinject_original,500,123.35766423357664,1.164470772582121e-28,134,3
Qwen2.5-32B-Instruct,gsm8k,removal,perturb_word_shuffle,500,0.11510791366906475,0.7344021432940631,72,67
Qwen2.5-32B-Instruct,gsm8k,removal,perturb_step_reorder,500,11.376404494382022,0.0007438296004166835,112,66
Qwen2.5-32B-Instruct,gsm8k,removal,swap,500,3.734806629834254,0.05328983462687468,104,77
Qwen2.5-32B-Instruct,gsm8k,removal,control_irrelevant,500,0.05625,0.8125242693153686,82,78
Qwen2.5-32B-Instruct,gsm8k,removal,reinject_original,500,102.14778325123153,5.153045896528231e-24,174,29
Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,10.062893081761006,0.001512854738955102,100,59
Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,swap,500,2.901315789473684,0.08850727919818753,87,65
Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,control_irrelevant,500,0.0,1.0,62,63
Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,reinject_original,500,97.58080808080808,5.1702631035995995e-23,169,29
Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,swap,500,2.0903225806451613,0.14823476729013604,68,87
Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,control_irrelevant,500,10.915584415584416,0.000953586284517571,56,98
Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,reinject_original,500,64.45637583892618,9.869346993431118e-16,124,25
Qwen2.5-32B-Instruct,gsm8k,swap,control_irrelevant,500,4.36036036036036,0.03678452322577579,44,67
Qwen2.5-32B-Instruct,gsm8k,swap,reinject_original,500,78.67241379310344,7.3312200921125215e-19,146,28
Qwen2.5-32B-Instruct,gsm8k,control_irrelevant,reinject_original,500,101.55440414507773,6.952740727950575e-24,167,26
Qwen2.5-32B-Instruct,mmlu_stem,removal,perturb_word_shuffle,500,5.653846153846154,0.01741713028689997,50,28
Qwen2.5-32B-Instruct,mmlu_stem,removal,perturb_step_reorder,500,65.25,6.597419016811698e-16,102,14
Qwen2.5-32B-Instruct,mmlu_stem,removal,swap,500,129.605,5.0000277520876846e-30,19,181
Qwen2.5-32B-Instruct,mmlu_stem,removal,control_irrelevant,500,3.574324324324324,0.05867931607022509,62,86
Qwen2.5-32B-Instruct,mmlu_stem,removal,reinject_original,500,65.34,6.302894599573744e-16,125,25
Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,48.01136363636363,4.237560695350297e-12,77,11
Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,152.22272727272727,5.664315815878882e-35,18,202
Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,13.5,0.0002385634540287098,52,98
Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,47.05555555555556,6.900279103364629e-12,102,24
Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,233.08646616541353,1.2654787073784957e-52,8,258
Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,82.14,1.2678068925069229e-19,19,131
Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,1.8333333333333333,0.17573433564422514,39,27
Qwen2.5-32B-Instruct,mmlu_stem,swap,control_irrelevant,500,111.7202380952381,4.1146103055101257e-26,153,15
Qwen2.5-32B-Instruct,mmlu_stem,swap,reinject_original,500,231.70408163265307,2.533475049642445e-52,278,16
Qwen2.5-32B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,83.12637362637362,7.697185909625461e-20,153,29
Qwen3-8B-Base,gsm8k,removal,perturb_word_shuffle,500,1.152,0.28313087066234666,56,69
Qwen3-8B-Base,gsm8k,removal,perturb_step_reorder,500,64.4235294117647,1.0035255140213886e-15,80,5
Qwen3-8B-Base,gsm8k,removal,swap,500,392.002538071066,3.0333681692326283e-87,0,394
Qwen3-8B-Base,gsm8k,removal,control_irrelevant,500,132.75,1.0254499664337024e-30,29,207
Qwen3-8B-Base,gsm8k,removal,reinject_original,500,82.27173913043478,1.1860590812365141e-19,90,2
Qwen3-8B-Base,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,78.84375,6.722177459067528e-19,92,4
Qwen3-8B-Base,gsm8k,perturb_word_shuffle,swap,500,379.002624671916,2.0516641318506054e-84,0,381
Qwen3-8B-Base,gsm8k,perturb_word_shuffle,control_irrelevant,500,116.43290043290044,3.8209029725620395e-27,33,198
Qwen3-8B-Base,gsm8k,perturb_word_shuffle,reinject_original,500,97.0873786407767,6.633439382977033e-23,102,1
Qwen3-8B-Base,gsm8k,perturb_step_reorder,swap,500,467.00213219616205,1.4392328692513547e-103,0,469
Qwen3-8B-Base,gsm8k,perturb_step_reorder,control_irrelevant,500,243.31034482758622,7.463159760020748e-55,4,257
Qwen3-8B-Base,gsm8k,perturb_step_reorder,reinject_original,500,9.6,0.0019457736937391532,14,1
Qwen3-8B-Base,gsm8k,swap,control_irrelevant,500,214.00462962962962,1.8374156483490823e-48,216,0
Qwen3-8B-Base,gsm8k,swap,reinject_original,500,480.00207468879665,2.1344806538611608e-106,482,0
Qwen3-8B-Base,gsm8k,control_irrelevant,reinject_original,500,258.18014705882354,4.277656283181257e-58,269,3
Qwen3-8B-Base,mmlu_stem,removal,perturb_word_shuffle,500,46.753246753246756,8.05114391452685e-12,69,8
Qwen3-8B-Base,mmlu_stem,removal,perturb_step_reorder,500,75.52136752136752,3.614738729064269e-18,106,11
Qwen3-8B-Base,mmlu_stem,removal,swap,500,33.84375,5.972063885729782e-09,19,77
Qwen3-8B-Base,mmlu_stem,removal,control_irrelevant,500,0.8780487804878049,0.34873666013880517,17,24
Qwen3-8B-Base,mmlu_stem,removal,reinject_original,500,79.37190082644628,5.14527100282769e-19,110,11
Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,20.942307692307693,4.733246030883413e-06,43,9
Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,swap,500,104.69172932330827,1.4269543197202144e-24,7,126
Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,53.44047619047619,2.665479518955116e-13,8,76
Qwen3-8B-Base,mmlu_stem,perturb_word_shuffle,reinject_original,500,24.446428571428573,7.640501529011894e-07,47,9
Qwen3-8B-Base,mmlu_stem,perturb_step_reorder,swap,500,138.34730538922156,6.118355267798689e-32,7,160
Qwen3-8B-Base,mmlu_stem,perturb_step_reorder,control_irrelevant,500,85.00833333333334,2.9711023506849876e-20,9,111
Qwen3-8B-Base,mmlu_stem,perturb_step_reorder,reinject_original,500,0.5625,0.4532547047537364,10,6
Qwen3-8B-Base,mmlu_stem,swap,control_irrelevant,500,25.252525252525253,5.02936781158471e-07,75,24
Qwen3-8B-Base,mmlu_stem,swap,reinject_original,500,142.31578947368422,8.295311537465207e-33,164,7
Qwen3-8B-Base,mmlu_stem,control_irrelevant,reinject_original,500,90.3688524590164,1.9765332012832247e-21,114,8
Qwen3-8B-Instruct,gsm8k,removal,perturb_word_shuffle,500,1.3617021276595744,0.24324270574265683,19,28
Qwen3-8B-Instruct,gsm8k,removal,perturb_step_reorder,500,16.680851063829788,4.4225162147954126e-05,38,9
Qwen3-8B-Instruct,gsm8k,removal,swap,500,0.972972972972973,0.3239398455985341,15,22
Qwen3-8B-Instruct,gsm8k,removal,control_irrelevant,500,0.038461538461538464,0.84451926747294,12,14
Qwen3-8B-Instruct,gsm8k,removal,reinject_original,500,30.72340425531915,2.9755432552207985e-08,43,4
Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,perturb_step_reorder,500,27.38,1.6715105790914652e-07,44,6
Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,swap,500,0.023809523809523808,0.8773705560641434,22,20
Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,control_irrelevant,500,0.8780487804878049,0.34873666013880517,24,17
Qwen3-8B-Instruct,gsm8k,perturb_word_shuffle,reinject_original,500,39.44642857142857,3.3718385906510113e-10,52,4
Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,swap,500,22.685185185185187,1.9083352345314e-06,9,45
Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,control_irrelevant,500,19.148936170212767,1.2090487054383215e-05,8,39
Qwen3-8B-Instruct,gsm8k,perturb_step_reorder,reinject_original,500,4.5,0.033894853524689274,14,4
Qwen3-8B-Instruct,gsm8k,swap,control_irrelevant,500,0.43243243243243246,0.5107977981738964,21,16
Qwen3-8B-Instruct,gsm8k,swap,reinject_original,500,37.5,9.141298408246597e-10,50,4
Qwen3-8B-Instruct,gsm8k,control_irrelevant,reinject_original,500,34.04255319148936,5.391987215957246e-09,44,3
Qwen3-8B-Instruct,mmlu_stem,removal,perturb_word_shuffle,500,4.040404040404041,0.044423184850006056,39,60
Qwen3-8B-Instruct,mmlu_stem,removal,perturb_step_reorder,500,17.763157894736842,2.5018119029164045e-05,80,34
Qwen3-8B-Instruct,mmlu_stem,removal,swap,500,84.62893081761007,3.5995937292654924e-20,21,138
Qwen3-8B-Instruct,mmlu_stem,removal,control_irrelevant,500,3.9375,0.04722090400357716,45,67
Qwen3-8B-Instruct,mmlu_stem,removal,reinject_original,500,71.62698412698413,2.5997693049987925e-17,111,15
Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,43.12871287128713,5.1254522562297687e-11,84,17
Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,60.979729729729726,5.7665501714037225e-15,26,122
Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,0.0,1.0,57,58
Qwen3-8B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,91.5374149659864,1.0950205717009902e-21,132,15
Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,130.56716417910448,3.079348234871241e-30,19,182
Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,33.00735294117647,9.181098920199332e-09,34,102
Qwen3-8B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,35.30882352941177,2.8135449397763703e-09,59,9
Qwen3-8B-Instruct,mmlu_stem,swap,control_irrelevant,500,56.28025477707006,6.284335669500392e-14,126,31
Qwen3-8B-Instruct,mmlu_stem,swap,reinject_original,500,191.25106382978723,1.6953346134629972e-43,224,11
Qwen3-8B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,91.26,1.2598173090614085e-21,134,16
