model,task,condition_a,condition_b,n_paired,statistic,p_value,b,c
Gemma-2-27B-Instruct,mmlu_stem,removal,control_irrelevant,500,2.0416666666666665,0.15304188415882006,8,16
Gemma-2-27B-Instruct,mmlu_stem,removal,reinject_original,500,0.211864406779661,0.6453100093457217,56,62
Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,perturb_step_reorder,500,2.10752688172043,0.14657603430900074,39,54
Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,swap,500,0.24615384615384617,0.619796388494133,35,30
Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,control_irrelevant,500,0.16071428571428573,0.6884997410966343,26,30
Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,reinject_original,500,0.008928571428571428,0.9247190374867695,55,57
Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,swap,500,4.2976190476190474,0.03816576945883003,52,32
Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,control_irrelevant,500,1.1235955056179776,0.2891455637972511,50,39
Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,reinject_original,500,1.4257425742574257,0.23246051122082698,57,44
Gemma-2-27B-Instruct,mmlu_stem,swap,control_irrelevant,500,1.3617021276595744,0.24324270574265683,19,28
Gemma-2-27B-Instruct,mmlu_stem,swap,reinject_original,500,0.3130434782608696,0.575818562877981,54,61
Gemma-2-27B-Instruct,mmlu_stem,control_irrelevant,reinject_original,500,0.00819672131147541,0.9278614893440519,62,60
Gemma-7B-Base,gsm8k,removal,perturb_word_shuffle,500,192.9877049180328,7.08281077628513e-44,231,13
Gemma-7B-Base,gsm8k,removal,perturb_step_reorder,500,390.40625,6.752059506543579e-87,410,6
Gemma-7B-Base,gsm8k,removal,swap,500,42.48076923076923,7.138060540993875e-11,2,50
Gemma-7B-Base,gsm8k,removal,control_irrelevant,500,94.33128834355828,2.6689800428218977e-22,144,19
