pair_id,base_model,instruct_model,task,condition,base_acr_pct,instruct_acr_pct,n_paired,statistic,p_value,b,c
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,mmlu_stem,swap,47.199999999999996,38.0,500,8.960176991150442,0.002759281605749324,136,90
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,mmlu_stem,control_irrelevant,43.6,32.4,500,15.755208333333334,7.208919288681051e-05,124,68
llama31_8b,Llama-3.1-8B-Base,Llama-3.1-8B-Instruct,mmlu_stem,reinject_original,11.200000000000001,8.6,500,1.6941176470588235,0.19305906087643557,49,36
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,removal,12.2,53.6,500,157.7546468401487,3.5014829814935615e-36,31,238
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,perturb_word_shuffle,15.4,52.6,500,129.6401515151515,4.9122600399015285e-30,39,225
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,perturb_step_reorder,1.4000000000000001,44.4,500,207.22171945701356,5.546597938549453e-47,3,218
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,swap,77.4,48.199999999999996,500,86.8801652892562,1.1529993509350806e-20,194,48
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,control_irrelevant,61.199999999999996,52.800000000000004,500,7.572072072072072,0.005927959622606943,132,90
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,gsm8k,reinject_original,1.2,24.6,500,113.07563025210084,2.0769933643232206e-26,1,118
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,removal,18.8,30.8,500,20.96987951807229,4.665611838316206e-06,53,113
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,perturb_word_shuffle,8.6,26.400000000000002,500,54.15384615384615,1.8539064170862238e-13,27,116
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,perturb_step_reorder,2.8000000000000003,13.200000000000001,500,34.223684210526315,4.912739723236446e-09,12,64
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,swap,35.199999999999996,63.2,500,78.54065040650407,7.836886967551678e-19,53,193
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,control_irrelevant,28.4,35.6,500,5.671296296296297,0.017244708366320832,90,126
qwen25_32b,Qwen2.5-32B-Base,Qwen2.5-32B-Instruct,mmlu_stem,reinject_original,2.1999999999999997,10.8,500,28.0,1.2131545083660734e-07,10,53
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,removal,74.8,8.4,500,320.35380116959067,1.2129302214854703e-71,337,5
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,perturb_word_shuffle,28.599999999999998,8.200000000000001,500,69.86986301369863,6.334896149730927e-17,124,22
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,perturb_step_reorder,3.0,7.199999999999999,500,7.8431372549019605,0.005101399646004982,15,36
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,swap,93.2,9.6,500,416.0023923444976,1.809600260412695e-92,418,0
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,control_irrelevant,75.0,10.2,500,303.28197674418607,6.349681096449129e-68,334,10
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,gsm8k,reinject_original,2.1999999999999997,4.0,500,2.206896551724138,0.13739482585580087,10,19
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,removal,26.400000000000002,14.799999999999999,500,22.5625,2.034166485137406e-06,101,43
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,perturb_word_shuffle,16.2,15.6,500,0.037383177570093455,0.8466869868023941,55,52
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,perturb_step_reorder,12.4,18.6,500,8.108108108108109,0.004406769547655541,40,71
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,swap,32.0,14.6,500,47.10828025477707,6.717131323210537e-12,122,35
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,control_irrelevant,27.6,16.400000000000002,500,20.166666666666668,7.097908330908287e-06,103,47
gemma2_27b,Gemma-2-27B-Base,Gemma-2-27B-Instruct,mmlu_stem,reinject_original,11.200000000000001,16.0,500,4.560344827586207,0.03272048483157355,46,70
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,removal,68.2,44.800000000000004,500,49.28937728937729,2.208552182353413e-12,195,78
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,perturb_word_shuffle,24.8,48.0,500,60.6651376146789,6.765779222144973e-15,51,167
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,perturb_step_reorder,3.4000000000000004,35.4,500,145.29310344827587,1.853026766759306e-33,7,167
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,swap,97.8,45.0,500,250.61231884057972,1.9096302775782057e-56,270,6
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,control_irrelevant,74.6,45.2,500,75.85765124555161,3.0486882138056986e-18,214,67
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,gsm8k,reinject_original,1.0,29.2,500,131.54362416107384,1.882907982492428e-30,4,145
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,removal,28.799999999999997,23.799999999999997,500,3.6226415094339623,0.056998306410519936,92,67
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,perturb_word_shuffle,18.4,23.799999999999997,500,5.24031007751938,0.022069340073466844,51,78
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,perturb_step_reorder,8.4,10.6,500,1.2345679012345678,0.26652052580501084,35,46
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,swap,33.6,25.6,500,8.544943820224718,0.0034648329435355315,109,69
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,control_irrelevant,30.0,25.4,500,3.0440251572327046,0.08103475417128947,91,68
llama31_70b,Llama-3.1-70B-Base,Llama-3.1-70B-Instruct,mmlu_stem,reinject_original,9.0,6.6000000000000005,500,1.6805555555555556,0.1948506486088695,42,30
